text,id,emotion
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",23,neutral
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",24,positive
The fine print is here .,25,neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,26,positive
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",27,neutral
AstraZeneca profit down as sales of stalwarts fade,28,negative
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",29,positive
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",30,neutral
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",31,neutral
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,32,neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,33,neutral
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,34,neutral
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",35,neutral
US sanctions put Gazprom-Shell alliance plans in jeopardy,36,negative
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,37,neutral
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,38,neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",39,negative
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",40,neutral
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",41,positive
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",42,negative
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,43,neutral
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",44,positive
$YANG Double bottom 5.2,45,positive
Tesco share price down as grocer faces SFO investigation outcome,46,negative
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",47,neutral
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,48,neutral
$TSLA recall,49,negative
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,50,positive
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",51,negative
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,52,neutral
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",53,neutral
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,54,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",55,neutral
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",56,neutral
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",57,negative
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",58,neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,59,neutral
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",60,neutral
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,61,positive
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,62,negative
"$TYC just about to break out to new highs, lots of technicals looking great right now.",63,positive
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",64,neutral
The adjustment measures will be carried out in phases to secure the delivery capability .,65,neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",66,neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",67,positive
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",68,neutral
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,69,neutral
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",70,neutral
The plant is expected to enter commercial operation by mid-2009 .,71,neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,72,neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,73,positive
RT @bman1 $LNG looks primed also $EGHT poised to run too...,74,positive
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",75,positive
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,76,neutral
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,77,positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",78,negative
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,79,positive
That topped consensus forecasts for earnings of 0.21 euros a share .,80,positive
R&D Loan ) .,81,neutral
"You need to be ready when the window opens up , Rosberg said .",82,neutral
"More than 50,000 tonnes of asphalt mix will be used in the contract .",83,neutral
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",84,neutral
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",85,negative
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",86,positive
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,87,positive
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",88,positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",89,positive
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",90,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",91,neutral
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",92,positive
The company expects its net sales for the whole 2009 to be at previous year levels .,93,neutral
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",94,positive
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",95,negative
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",96,neutral
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",97,neutral
The main strength of the cooperation project lies in merging the know-how of two large companies .,98,positive
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,99,neutral
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",100,neutral
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,101,neutral
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",102,positive
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",103,neutral
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,104,positive
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,105,neutral
"The Company serves approximately 3,000 customers in over 100 countries .",106,neutral
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",107,positive
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,108,neutral
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,109,neutral
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",110,neutral
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,111,neutral
Net sales in 2008 are expected to be on the same level as in 2007 .,112,neutral
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,113,positive
N-Viro operates processing facilities independently as well as in partnership with municipalities .,114,neutral
The number of bodily injury cases quadrupled in 2000-2006 .,115,negative
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,116,positive
Tesco sales rise shows tentative recovery continues,117,positive
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",118,neutral
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,119,negative
The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,120,neutral
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,121,negative
"$TSLA steaming up again, this stock is relentless at the moment",122,positive
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,123,neutral
Whitbread share price climbs on Q4 sales growth,124,positive
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,125,neutral
"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",126,neutral
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,127,neutral
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,128,negative
"Tesco, Asda sales fall as march of the discounters continues-Kantar",129,negative
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,130,positive
Altogether Finnair has canceled over 500 flights because of the strike .,131,negative
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,132,neutral
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,133,positive
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",134,neutral
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",135,positive
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",136,positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",137,neutral
"The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together , they will invest Rs 365 crore .",138,neutral
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,139,positive
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",140,neutral
The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,141,neutral
However short-term rentals are becoming more popular .,142,neutral
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,143,neutral
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,144,positive
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,145,negative
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,146,positive
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",147,positive
$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,148,negative
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",149,positive
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",150,neutral
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",151,neutral
"In addition , MIDs are always online and enable full Internet browsing .",152,neutral
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",153,positive
The name of the buyer was not disclosed .,154,neutral
"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",155,positive
FDA approves AstraZeneca drug for advanced lung cancer,156,positive
The order is included in Metso 's fourth quarter 2007 order backlog .,157,neutral
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",158,positive
The company has an annual turnover of EUR32 .8 m.,159,neutral
It has80 branches in Finland with annual revenue in Finland of ?,160,neutral
`` Consumers have very well received our packed fresh meat .,161,positive
"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",162,neutral
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",163,positive
It will provide heating in the form of hot water for the sawmill 's needs .,164,neutral
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",165,negative
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",166,positive
"The record date for dividend distribution is March 14 , 2008 .",167,neutral
( I&H ) in a move to enhance growth .,168,positive
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",169,neutral
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",170,neutral
"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",171,neutral
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",172,positive
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,173,neutral
"The company 's profit totaled Ls 134,700 .",174,neutral
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,175,neutral
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,176,neutral
Full-year operating result for 2008 was 3.6 million negative .,177,negative
Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,178,neutral
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",179,neutral
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",180,neutral
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",181,neutral
Shire Sees Baxalta Deal Closing as Expected After New Rules,182,positive
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",183,neutral
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,184,neutral
"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",185,neutral
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,186,positive
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,187,positive
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",188,negative
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",189,positive
Financial details were not disclosed .,190,neutral
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,191,neutral
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",192,positive
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",193,neutral
"The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com",194,neutral
No planned closing date was provided .,195,neutral
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,196,neutral
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",197,neutral
The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,198,neutral
"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",199,neutral
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",200,neutral
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",201,positive
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,202,neutral
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,203,neutral
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",204,neutral
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",205,neutral
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,206,negative
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,207,neutral
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",208,neutral
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,209,positive
Bluewin Security is available as a monthly subscription .,210,neutral
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",211,positive
The chain is to unite 45-50 centres by the end of 2008 .,212,neutral
"The important thing now is to keep the bank 's existing 15,000 customers .",213,neutral
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",214,neutral
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,215,negative
"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",216,neutral
`` Management decided at the end of 2005 to increase cathode copper capacity .,217,neutral
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',218,neutral
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,219,neutral
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,220,neutral
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",221,neutral
$GNRC finding support at its 10-day line so far.,222,positive
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",223,neutral
"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",224,neutral
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,225,positive
"In his current position , Manty has worked since 1996 .",226,neutral
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,227,positive
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",228,neutral
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",229,positive
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,230,neutral
City spirits sink after Diageo comes up short with sales slide,231,negative
"ALEXANDRIA , Va. , June 7 -- Michael G. Williams of Newbury Park , Calif. , has developed a network device .",232,neutral
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",233,neutral
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,234,neutral
The bridge is part of the highway 14 development project .,235,neutral
"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",236,positive
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",237,negative
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",238,positive
You 're not alone .,239,neutral
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",240,negative
The acquisition of +àlandsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,241,neutral
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,242,negative
Orders received grew by 55 % year-on-year to EUR732m .,243,positive
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",244,positive
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",245,neutral
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",246,neutral
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",247,positive
Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .,248,neutral
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,249,neutral
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",250,positive
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",251,neutral
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",252,neutral
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",253,neutral
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,254,positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,255,positive
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,256,neutral
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",257,neutral
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",258,neutral
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",259,positive
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,260,positive
All of Raisio 's divisions recorded an operating profit .,261,positive
The forecast for 2012 is 3.3 % .,262,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,263,neutral
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,264,neutral
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",265,positive
$MXWL Oh snap. Just went long again. LT,266,positive
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,267,negative
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",268,neutral
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",269,neutral
The dismissed staff members will now take the matter to court unless it can be settled outside .,270,neutral
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",271,neutral
`` We know there are some of our own people out there . '',272,neutral
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",273,positive
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,274,positive
