id,quote,label
30,"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral
31,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",negative
32,"In addition , MIDs are always online and enable full Internet browsing .",positive
33,"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .",positive
34,Net sales fell by 5 % from the previous accounting period .,negative
35,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,negative
36,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",neutral
37,Tesco leads leap in FTSE 100; Marks & Spencer drops,neutral
38,Shell and BG Shareholders to Vote on Deal at End of January,neutral
39,"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",neutral
40,"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",positive
41,"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive
42,The value of the order is EUR 4mn .,neutral
43,The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,positive
44,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,neutral
45,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",neutral
46,"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",positive
47,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative
48,"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",neutral
49,"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive
50,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,positive
51,The company also said that it will sell approximately 150 hectares of land to the city of Valkeakoski by the end of the year a part of its `` From job to job '' program .,neutral
52,MarketsBP promotes upstream boss to deputy CEO,positive
53,$FTI Breakout today after reporting earnings last night,positive
54,Whitbread share price climbs on Q4 sales growth,positive
55,NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,negative
56,"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",neutral
57,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,positive
58,CompaniesDixons Carphone to close 134 UK stores as sales jump,negative
59,He wore a black beanie-type cap and a black jacket .,neutral
60,`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,positive
61,A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral
62,"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",negative
63,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",negative
64,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative
65,"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",neutral
66,Brazilian mobile player Telemig Celular yesterday announced that it has selected Finnish software developer Tecnomen Oyj to expand its prepaid billing system .,neutral
67,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive
68,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral
69,"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management .",neutral
70,$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,neutral
71,AB InBev looks to win over SABMiller investors,neutral
72,"L&G still paying price for dividend cut during crisis, chief says",negative
73,With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .,positive
74,Capital base and capital adequacy measurement is based on approaches under Basel II .,neutral
75,"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral
76,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,positive
77,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,negative
78,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",neutral
79,Barclays appoints JPMorgan's Paul Compton as new COO,neutral
80,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",negative
81,"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral
82,"In Finland , Hamina Cargo Terminal , of Finnish Nurminen Logistics , has purchased a warehouse with ground lease rights in the Port of Hamina .",neutral
83,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive
84,The acquisition of +àlandsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .,negative
85,"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive
86,$SPY weak close,negative
87,BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive
88,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive
89,"$RNN day traders flushed out, it should start going up slowly from now on .",positive
90,You 're not alone .,positive
91,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral
92,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",neutral
93,@Vegastrader66 Looks like good entry for $QIHU here.,positive
94,"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral
95,The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,neutral
96,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral
97,I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,neutral
98,The parties have agreed not to disclose the transaction value .,neutral
99,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative
100,"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral
